wl;refl
473.277968;0.078103
473.473376;0.064784
473.668784;0.078492
473.864191;0.08974
474.059599;0.084169
474.255007;0.083519
474.450415;0.080018
474.645823;0.071549
474.841231;0.071314
475.036639;0.071322
475.232047;0.075144
475.427455;0.081568
475.622863;0.074731
475.818271;0.074626
476.013679;0.076634
476.209086;0.061615
476.404494;0.071264
476.599902;0.068744
476.79531;0.073132
476.990718;0.069415
477.186126;0.077398
477.381534;0.074753
477.576942;0.077645
477.77235;0.070562
477.967758;0.072436
478.163166;0.07176
478.358574;0.075791
478.553981;0.067846
478.749389;0.071131
478.944797;0.073229
479.140205;0.077357
479.335613;0.074334
479.531021;0.072255
479.726429;0.070242
479.921837;0.067712
480.117245;0.077005
480.312653;0.072883
480.508061;0.0784
480.703468;0.077801
480.898876;0.07204
481.094284;0.070864
481.289692;0.073581
481.4851;0.073414
481.680508;0.078291
481.875916;0.071665
482.071324;0.070896
482.266732;0.076143
482.46214;0.081024
482.657548;0.073651
482.852956;0.068853
483.048363;0.072636
483.243771;0.07457
483.439179;0.070599
483.634587;0.071576
483.829995;0.072204
484.025403;0.074166
484.220811;0.075441
484.416219;0.070631
484.611627;0.069971
484.807035;0.076401
485.002443;0.075348
485.197851;0.073763
485.393258;0.074243
485.588666;0.075092
485.784074;0.072824
485.979482;0.076215
486.17489;0.075937
486.370298;0.07288
486.565706;0.071453
486.761114;0.072833
486.956522;0.073681
487.15193;0.074187
487.347338;0.070791
487.542745;0.073748
487.738153;0.078029
487.933561;0.075845
488.128969;0.074836
488.324377;0.075668
488.519785;0.073782
488.715193;0.072462
488.910601;0.078766
489.106009;0.075363
489.301417;0.074498
489.496825;0.07552
489.692233;0.074048
489.88764;0.073523
490.083048;0.078938
490.278456;0.076305
490.473864;0.075839
490.669272;0.074363
490.86468;0.074413
491.060088;0.076793
491.255496;0.075117
491.450904;0.077412
491.646312;0.074382
491.84172;0.075142
492.037128;0.073351
492.232535;0.076287
492.427943;0.076687
492.623351;0.075543
492.818759;0.073903
493.014167;0.073313
